Column,expected,observed id
Associated,842.375743337494,1399.2363173525669
Central Services,158.43183319873725,175.36416348465562
Economics,223.6252844871889,209.30561448168575
Humanities,2449.0125541443363,481.96860415782777
Interdisciplinary,167.09492695103148,137.18003111299674
Law,747.5222083547465,62.508838919530476
Medicine,1684.1641582850011,2763.965492858153
Psychology,434.7698406871743,507.1418469806251
Science,2872.0358270317893,4200.820251732428
Theology,420.9676235225021,62.508838919530476
