keyword clean,wikidata label,qid,mesh id,yso id,occurrences
hiv infections,human immunodeficiency virus infectious disease,Q18556697,D015658,,20
ethics,ethics,Q9465,D004989,3166,20
protein structure,protein structure,Q735188,,,20
disease progression,disease progression,Q86758334,D018450,,20
immunity,immunity,Q182581,D007109,7524,19
escherichia coli,Escherichia coli,Q25419,D004926,18582,19
qualitative research,qualitative research,Q839486,D036301,11782,19
apoptosis,apoptotic process,Q14599311,D017209,6280,19
phenotype,phenotype,Q104053,D010641,13074,19
mutation,mutation,Q42918,D009154,15346,19
breast neoplasms,breast neoplasm,Q23929670,D001943,,19
dna methylation,DNA methylation,Q874745,D019175,,18
decision making,decision making,Q1331926,D003657,8743,18
nursing,nursing,Q121176,D009729,10684,18
risk assessment,risk assessment,Q1058438,D018570,6079,18
hydrodynamics,hydrodynamics,Q12016129,D057446,,18
memory,memory,Q492,D008568,,18
gene expression,gene expression,Q26972,D015870,25831,18
recurrence,relapse,Q2292472,D012008,,18
chronic,chronic,,,,18
c-reactive protein,C-reactive protein,Q422766,D002097,,18
membrane proteins,membrane proteins,Q423042,D008565,,18
t-lymphocytes,T-lymphocytes,Q193529,D013601,,18
anatomy & histology,anatomy,Q514,D000715,,18
gaba-b,GABA-B Receptor Agonists,Q50430379,D058786,,18
messenger,messenger,,,,18
mitochondria,mitochondrion,Q39572,D008928,21158,17
microscopy,microscopy,Q1074953,D008853,,17
children,child,Q7569,D002648,,17
tanzania,Tanzania,Q924,D013636,94438,17
quality of life,Quality of life,Q7268788,,,17
germany,Germany,Q183,D005858,105087,17
cytokines,cytokine,Q212354,D016207,22729,17
transmission,transmission,Q118093,,,17
reproducibility of results,reproducibility,Q1425625,D015203,,17
hiv-1,HIV type 1,Q18907320,D015497,,17
bacteria,bacteria,Q10876,D001419,1749,17
age factors,age factor,Q64705711,D000367,,17
ultrastructure,ultrastructure,Q3141316,,,17
chemically induced,chemically induced disorder,Q54930906,D064419,,17
monoclonal,Monoclonal,Q6901461,,,17
trends,trend,Q1514415,,10137,17
deficiency,flaw,Q5801290,,,17
crystal structure,crystal structure,Q895901,,,16
education,education,Q8434,D004493,84,16
cancer,cancer,Q12078,,678,16
oxidative stress,oxidative stress,Q898814,D018384,27309,16
mass spectrometry,mass spectrometry,Q180809,D013058,10755,16
double-blind method,double-blind method,,,,16
bipolar disorder,bipolar disorder,Q131755,D001714,7997,16
dendritic cells,dendritic cell,Q506253,D003713,,16
algorithms,algorithm,Q8366,D000465,14524,16
copper,copper,Q753,D003300,19074,15
health,health,Q12147,D006262,2762,15
meta-analysis,meta-analysis,Q815382,D017418,,15
,,,D015201,,
micrornas,microRNA,Q310899,D035683,,15
adaptation,adaptation,Q483921,,,15
macrophages,macrophage,Q184204,D008264,,15
preschool,preschool,Q1076052,D012578,,15
radiotherapy,radiation therapy,Q180507,D011878,,15
growth & development,developmental process,Q2843407,D048788,,15
tomography,computed tomography,Q32566,D014057,,15
roc curve,receiver operating characteristic,Q327120,D012372,,15
virus replication,viral replication,Q3933202,D014779,,15
neurons,neuron,Q43054,D009474,,15
carcinoma,carcinoma,Q33525,D002277,,15
chromatography,chromatography,Q170050,D002845,,15
community-acquired infections,community acquired infection,Q25377722,D017714,,15
drug,drug,Q8386,,,14
prevalence,prevalence,Q719602,D015995,3556,14
immunosuppression,immunosuppression,Q1455316,D007165,,14
computer-mediated communication,computer-mediated communication,Q796573,,,14
simulation,simulation,Q45045,,,14
soil erosion,soil erosion,Q889503,,,14
flow cytometry,flow cytometry,Q1141429,D005434,,14
proteomics,proteomics,Q471857,D040901,7548,14
transplantation,transplantation,Q105196,D014180,5920,14
protein folding,protein folding,Q847556,D017510,,14
molecular,molecular cloud,Q272447,,,14
toxicity,toxicity,Q274160,,12637,14
survival rate,survival rate,Q332823,D015996,,14
bk virus,BK virus,Q582873,D001739,,14
genotype,genotype,Q106016,D005838,8863,14
cell movement,cell motility,Q14873676,D002465,,14
pathogenicity,pathogenicity,Q510062,,,14
reverse transcriptase polymerase chain reaction,reverse transcription polymerase chain reaction,Q169526,D020133,,14
bacterial infections,bacterial infectious disease,Q727028,D001424,,14
molecular sequence data,molecular sequence data,Q70322337,D008969,,14
proteins,protein,Q8054,D011506,4332,14
survey,questionnaire,Q747810,D011795,,13
safety,safety,Q24994,,,13
asthma,asthma,Q35869,D001249,19468,13
tuberculosis,tuberculosis,Q12204,D014376,5135,13
systematic review,systematic review,Q1504425,D000078202,,13
genome,genome,Q7020,D016678,,13
self-assembly,self-assembly,Q910150,,,13
psoriasis,psoriasis,Q179945,D011565,20625,13
holocene,Holocene,Q25445,,37769,13
stable isotopes,stable isotope,Q878130,,,13
gene expression profiling,gene expression profiling,Q1502169,D020869,,13
protein,protein,Q8054,D011506,4332,13
pollen,pollen,Q79932,D011058,16338,13
genetic variation,genetic variation,Q349856,D014644,,13
individual,individual,Q795052,,,13
infant,baby,Q998,D007223,,13
thermodynamics,thermodynamics,Q11473,D013816,14558,13
length of stay,length of stay,Q2520821,D007902,,13
interferon-gamma,Interferon gamma,Q21173277,,,13
amino acid sequence,amino acid sequence,Q425105,D000595,,13
enzyme-linked immunosorbent assay,ELISA,Q332126,D004797,,13
spectrometry,mass spectrometry,Q180809,D013058,10755,13
pulmonary disease,lung disease,Q3392853,D008171,,13
immunocompromised host,immunocompromised host,Q64732748,D016867,,13
urine,urine,Q40924,D014556,15222,13
diagnostic use,medical diagnosis,Q177719,D019937,14134,13
kidney transplantation,kidney transplantation,Q740909,D016030,26387,12
statistics,statistics,Q12483,D020500,3591,12
,,,D013223,,
obesity,obesity,Q12174,D009765,,12
medication adherence,medication adherence,Q67144513,D055118,,12
echocardiography,echocardiography,Q216933,D004452,,12
biodiversity,biodiversity,Q47041,D044822,5496,12
reactive oxygen species,reactive oxygen species,Q424361,D017382,,12
migration,human migration,Q177626,D063426,,12
cognition,cognition,Q2200417,D003071,642,12
randomized controlled trials as topic,randomized controlled trial,Q1436668,D016032,,12
hospitalization,hospitalization,Q3140971,D006760,,12
databases,database,Q8513,D019991,3056,12
,,,D019992,,
postoperative complications,postoperative complications,Q18478450,D011183,,12
autoantibodies,autoantibody,Q785022,D001323,,12
liver,liver,Q9368,D008099,,12
x-ray computed,computed tomography,Q32566,D014057,,12
polyomavirus infections,Polyomavirus infectious disease,Q19000740,D027601,,12
cerebrospinal fluid,cerebrospinal fluid,Q54196,D002555,21013,12
organ transplantation,transplantation,Q105196,D014180,5920,12
kinetics,kinetics,Q1108792,D007700,,12
neoplastic,neoplasm,Q1216998,D009369,,12
immunoglobulin g,immunoglobulin G,Q79448,D007074,,12
rheumatoid,rheumatoid arthritis,Q187255,D001172,11946,12
adrenomedullin,Adrenomedullin,Q366935,D053607,,12
mental health,mental health,Q317309,D008603,1949,11
endoplasmic reticulum,endoplasmic reticulum,Q79927,D004721,,11
decision-making,decision making,Q1331926,D003657,8743,11
africa,Africa,Q15,D000349,94080,11
air pollution,air pollution,Q131123,D000397,28397,11
public health,public health,Q189603,D011634,452,11
prevention,prevention,Q1717246,,,11
machine learning,machine learning,Q2539,D000069550,21846,11
genomics,genomics,Q222046,D023281,5146,11
motivation,motivation,Q644302,D009042,,11
polypharmacy,polypharmacy,Q1895998,D019338,,11
corporate governance,corporate governance,Q380767,,,11
neutrinos,neutrino,Q2126,,,11
chironomidae,Chironomidae,Q228145,D002683,6959,11
hypertension,arterial hypertension,Q41861,D006973,21452,11
temperature,temperature,Q11466,D013696,,11
breast cancer,breast cancer,Q128581,,20019,11
insulin,insulin,Q7240673,,8422,11
interleukin-6,Interleukin 6,Q412889,,,11
dose-response relationship,doseÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“response relationship,Q1251001,,,11
lakes,lake,Q23397,D060106,9374,11
neoplasms,neoplasm,Q1216998,D009369,,11
stem cells,stem cell,Q48196,D013234,,11
type 2,type 2,,,,11
blotting,blot,Q885458,,,11
western,western,,,,11
proteome,proteome,Q860947,D020543,,11
up-regulation,up-regulation,,,,11
embryology,embryology,Q131683,D004626,16831,11
chronic obstructive,chronic obstructive,,,,11
lymphocyte activation,lymphocyte activation,Q22295739,D008213,,11
secretion,secretion,Q84230,D055571,1097,11
,,,,1493,
escherichia coli proteins,Escherichia coli proteins,Q66764953,D029968,,11
behavior,behavior,Q9332,,3625,10
burnout,occupational burnout,Q327988,D002055,,10
x-ray crystallography,X-ray crystallography,Q826582,D018360,,10
sub-saharan africa,Sub-Saharan Africa,Q132959,D017954,,10
chronic disease,chronic condition,Q383126,D002908,,10
monitoring,monitoring,Q2143522,,3628,10
sustainability,sustainability,Q219416,,21004,10
screening,screening,Q1163564,,14972,10
surveillance,surveillance,Q334401,,,10
randomized controlled trial,randomized controlled trial,Q1436668,D016032,,10
treatment,treatment,Q179661,D013812,,10
elimination,removal,Q23009442,,,10
skin,skin,Q1074,D012867,,10
cardiovascular diseases,cardiovascular disease,Q389735,D002318,,10
control,control,,,,10
emotions,emotion,Q9415,D004644,,10
supramolecular chemistry,supramolecular chemistry,Q756449,,,10
hospital,hospital,Q16917,D006761,,10
adolescents,teenager,Q1492760,D000293,11616,10
hypothyroidism,hypothyroidism,Q16501,D007037,15726,10
experimental,experimental,,,,10
microfluidics,microfluidics,Q138845,D044085,,10
climate,climate,Q7937,D002980,5639,10
monocytes,Monocyte,Q107244,D009000,,10
genes,gene,Q7187,D005796,,10
diatoms,Diatomea,Q162678,D017377,7853,10
phosphorylation,phosphorylation,Q242736,D010766,,10
stable carbon isotopes,stable carbon isotopes,,,,10
simultaneous hermaphrodite,hermaphrodite,Q303479,D057850,,10
immunohistochemistry,immunohistochemistry,Q899285,D007150,,10
promoter regions,promoter,Q224093,D011401,,10
matching,matching,Q1065144,,,10
cell survival,Cell Survival,Q70690408,D002470,,10
cd8-positive t-lymphocytes,CD8-positive T-lymphocytes,Q70192767,D018414,,10
real-time polymerase chain reaction,real-time polymerase chain reaction,Q856198,D060888,,10
epithelial cells,epithelial cell,Q15176415,D004847,,10
neoplasm,neoplasm,Q1216998,D009369,,10
mass,mass,Q11423,,9383,10
ovarian neoplasms,ovarian neoplasm,Q11793790,D010051,,10
humanized,humanized,,,,10
secondary,secondary,Q2267334,,,10
differential,differential,Q193137,,,10
protein denaturation,protein denaturation,Q22282563,D011489,,10
stroke,stroke,Q12202,D020521,6354,9
body mass index,body mass index,Q131191,D015992,21142,9
environment,environment,Q2249676,D004777,,9
atrial fibrillation,atrial fibrillation,Q815819,D001281,21917,9
relational work,relational work,,,,9
development,planned community,Q1074523,,,9
neolithic,Neolithic,Q36422,,9285,9
infection,infection,Q166231,D007239,7316,9
major depressive disorder,major depressive disorders,Q42844,D003865,,9
phylogeny,phylogenetics,Q171184,D010802,,9
blood pressure,blood pressure,Q82642,D001794,7682,9
daphnia magna,Daphnia magna,Q672531,,,9
nanoparticles,nanoparticle,Q61231,D053758,,9
utilization,utilization,Q69406938,,,9
