language,language sample,language sample %,language  raw,language raw %
Other,2.0,4.8649963512527365E-4,121.0,0.0017704294388762893
French,3.0,7.297494526879104E-4,152.0,0.0022240105347867438
German,48.0,0.011675991243006566,3324.0,0.04863559880020484
English,2682.0,0.652396010702992,37042.0,0.5419855146682273



