date,date sample,date sample %,date raw,date raw %
1941 to 1950,0.0,0.0,3.0,4.389494476552783E-5
1951 to 1960,0.0,0.0,6.0,8.778988953105566E-5
1961 to 1970,0.0,0.0,27.0,3.950545028897505E-4
1971 to 1980,0.0,0.0,363.0,0.005311288316628868
1981 to 1990,1.0,2.4324981756263683E-4,1469.0,0.021493891286853462
1991 to 2000,40.0,0.009729992702505474,5335.0,0.07805984344136366
2001 to 2010,361.0,0.08781318414011188,23251.0,0.3402004535810959
2011 to 2020,3709.0,0.90221357333982,37890.0,0.5543931523886165
